mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
2,,2,,2,,2,,2,,,,,,2,,1,,2,,2,,2,,2,,3,,3,,,,,,,
2,,3,,3,,2,,2,,6,,2,,2,,,,1,,1,,4,,3,,3,,1,,I really liked the lecture videos and the mood they gave off.,I don't know who's fault it was when deadlines for assignments coming out or being graded weren't met but that was annoying as a student.,That there were a variety of types of notes and that ISAs answered quickly.,How to make the quiz could have had a little more instruction.,If anything the affect was positive with the lecture videos having an upbeat tone and the sample quizzes and HTML pages being fun.,
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,3,,2,,,,,,,
1,,3,,1,,,,2,,3,,2,,1,,1,,1,,1,,1,,3,,3,,2,,,,,,,
1,,3,,,,2,,2,,6,,1,,1,,1,,1,,4,,4,,3,,3,,1,,"Great online videos and explanations are at a perfect level. For the most part, very engaging.",,Great course for beginners in CS and useful material.,Need to wait a while for feedback.,,
1,,6,,6,,1,,1,,6,,1,,2,,,,1,,5,,5,,3,,3,,2,,,,,,,
1,,3,,3,,1,,1,,2,,2,,1,,1,,2,,5,,5,,3,,2,,2,,"Give details about the assignment. Sometimes, it was hard to understand the assignment.",His teaching was really interesting and informative at the same time. It was a helpful experience in understanding the basic ideas about basic ideas of computer science.,Fun topics and interesting lecture by the instructor,Some of the assignments were time consuming that I had to spend too much time on doing one assignment.,"Although online course was fun, but could have been better if it was a regular lecture.",None.
,,,,,,2,,,,,,2,,,,,,,,,,,,3,,3,,2,,,,,,,
2,,3,,3,,3,,3,,2,,1,,2,,1,,2,,2,,2,,2,,2,,2,,,,,,,
2,,2,,2,,2,,3,,4,,3,,3,,2,,1,,1,,5,,3,,1,,3,,,,,,,
1,,3,,2,,1,,1,,6,,2,,1,,1,,1,,4,,4,,3,,3,,2,,"The instructor was very engaging, and he was enthusiastic when explaining the material. He also plugged in funny jokes here and there which helped me stay interested in the course content.",,"The course is a very helpful one, and I learned a lot from it. The professor was engaging.","Some portions of the course content were somewhat difficult to understand without a video, such as the HTML modules.",,
2,,3,Everything was good until we go to style sheets. I had a lot of practical trouble with them I had not had previously and had not budgeted the extra time to deal with them I needed.,6,,2,,2,,6,,2,,2,,,,2,,5,,5,,3,,3,,2,,The online presentation was entertaining and kept me focused. I would have liked a transcript of the video presentations.,,,,,
3,,5,,,,4,,,,6,,2,,,,1,,1,,1,,4,,4,,3,,1,,,"I would have liked course notes and youtube videos for everything, but mainly course notes.",The application assignments were good.,,"It was online, we did not know each other.","It was online, this is not applicable."
1,,3,,2,,2,,1,,6,,1,,1,,1,,1,,5,,5,,3,,3,,2,,The videos are very easy to understand,N/a,The videos and assignments to understand the questions,Sometimes the ISA's would reply later than expected but they were still very helpful,N'a,online course so n/a
1,,3,,6,,2,,2,,6,,1,,2,,1,,1,,1,,4,,3,,3,,2,,Real world examples helped me understand content (ex: post card example),Break up longer videos into shorter ones if possible,"Applicable assignments, interesting content","Exam on paper rather than computers, review session felt rushed",,
3,,3,,3,,3,,3,,3,,2,,3,,3,,3,,3,,3,,3,,3,,3,,,,,,,
2,,3,,2,,2,,2,,2,,2,,2,,1,,2,,4,,4,,3,,3,,2,,,,,,,
1,,3,,6,,1,,1,,6,,1,,1,,1,,1,,5,,5,,3,,3,,2,,The video lectures were well presented; both fluent and clear.,It would be more beneficial to have side notes for video lectures to ensure that no important details are missed.,Assignments reinforced learning.,Lacked conceptual notes and rather there were a lot of examples.,N/A,N/A
1,,3,,1,,1,,1,,6,,2,,1,,1,,1,,5,,4,,3,,3,,1,,Modules were made really well,,,,,
1,,3,,1,,1,,1,The videos are amazing. Some of the humour thrown in makes it more interesting when watching and taking notes.,2,,1,,1,,1,,1,,1,,4,,3,,3,,3,,The videos are really great. They're very informative and the examples given are very helpful. The enthusiasm in the videos is transferred into my learning,It would be nice to get some additional feedback on submitted assignments. I would like to know where I lost marks,"Weekly assignments, ensured I was on track and kept up with the course.","Online, so individual assignment feedback wasn't provided.",Enthusiasm in instructor videos made learning positive.,
2,,3,,2,,1,,2,,2,,1,,2,,1,,1,,2,,2,,3,,3,,2,,,,,,,
1,,3,,1,,2,,2,,6,,2,,2,,1,,2,,1,,4,,3,,3,,2,,,,,,,
